species_guid,record_guid,scientific_name,species_type,medium_guid,medium_scientific_name,description,medium_type,reference_id,reference_name,page,author,created_time,editor,update_time,temp_guid,temp_scientific_name,named_year
f864d8f1-21e4-432a-b01e-d593f657791a,d57ceac7-2e1b-4529-854a-5c818a3e40e3,Comovirus severum,有害生物,a15481c5-3b90-4abf-9ced-a94858838ecd,Diabrotica speciosa,Potential vector,媒介,13351540,Comovirus severum(CPSMV0),,cpqis.wangxiufen,2024-12-23 13:36:09,cpqis.wangxiufen,2024-12-23 13:36:09,,,"Germar, 1824"
651796aa-e474-480a-80ed-05c94cd23fe4,38e56ad9-5d24-4262-b11f-469d3e9c3406,Cucumovirus PSV,有害生物,197e5ba4-6f96-4d50-9ac7-8f5ef333c9b4,Aphis spiraecola,"PSV is transmitted in nature by insect vectors belonging to the Aphididae, such as Aphis craccivora, A. spiraecola and Myzus persicae, but not by A. gossypii. It is transmitted in the non-persistent manner (Herbert, 1967; Tolin et al., 1970).",媒介,17002159,Peanut stunt virus (peanut stunt),,cpqis.wangxiufen,2024-12-19 10:04:30,cpqis.wangxiufen,2024-12-19 10:04:30,,,"Patch, 1914"
651796aa-e474-480a-80ed-05c94cd23fe4,84468f40-4a36-4dac-8e80-5444bf9a8d19,Cucumovirus PSV,有害生物,6e486811-1d27-4463-a628-4f52d3098abb,Aphis craccivora,"PSV is transmitted in nature by insect vectors belonging to the Aphididae, such as Aphis craccivora, A. spiraecola and Myzus persicae, but not by A. gossypii. It is transmitted in the non-persistent manner (Herbert, 1967; Tolin et al., 1970).",媒介,17002159,Peanut stunt virus (peanut stunt),,cpqis.wangxiufen,2024-12-19 10:03:17,cpqis.wangxiufen,2024-12-19 10:03:17,,,Koch
651796aa-e474-480a-80ed-05c94cd23fe4,db021b6a-8eab-45ad-acda-11c2d45deaae,Peanut stunt virus,有害生物,1d8bfb3d-4799-4afe-b54b-6f59a4e691f5,Bradysia impatiens,,媒介,10030240,花生矮化病毒研究进展,33,徐淼锋,2023-06-12 10:08:52,徐淼锋,2023-06-12 10:28:23,,,"(Johannsen, 1912)"
651796aa-e474-480a-80ed-05c94cd23fe4,52193c05-81f4-4201-96e7-4ec4cbb3de5c,Peanut stunt virus,有害生物,691aeab6-ad56-46b9-80a7-392930e619f0,Myzus persicae,"传播介体获毒时间不到 1 min，传毒
时 间 不 到 1 min， 无 潜 伏 期 ， 不 能 传 给 子 代",媒介,10030240,花生矮化病毒研究进展,33,徐淼锋,2023-06-12 10:07:53,徐淼锋,2023-06-12 10:28:28,,,"(Sulzer, 1776)"
651796aa-e474-480a-80ed-05c94cd23fe4,a92524d4-01ca-4f96-a734-66aa053b5a22,Peanut stunt virus,有害生物,197e5ba4-6f96-4d50-9ac7-8f5ef333c9b4,Aphis spiraecola,"传播介体获毒时间不到 1 min，传毒
时 间 不 到 1 min， 无 潜 伏 期 ， 不 能 传 给 子 代",媒介,10030240,花生矮化病毒研究进展,33,徐淼锋,2023-06-12 10:07:14,徐淼锋,2023-06-12 10:28:32,,,"Patch, 1914"
651796aa-e474-480a-80ed-05c94cd23fe4,bbce958b-9569-4506-b102-79427690e225,Peanut stunt virus,有害生物,6e486811-1d27-4463-a628-4f52d3098abb,Aphis craccivora,"传播介体获毒时间不到 1 min，传毒
时 间 不 到 1 min， 无 潜 伏 期 ， 不 能 传 给 子 代",媒介,10030240,花生矮化病毒研究进展,33,徐淼锋,2023-06-12 10:06:44,徐淼锋,2023-06-12 10:28:35,,,Koch
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,21be4154-21da-40c7-8d80-4aee3dc1e481,Potyvirus plumpoxi,有害生物,6e486811-1d27-4463-a628-4f52d3098abb,Aphis craccivora,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:57:49,cpqis.wangxiufen,2024-12-24 19:57:49,,,Koch
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,078513d2-4fae-4d12-8ad0-b0cebebed335,Potyvirus plumpoxi,有害生物,12a984dd-4af5-4012-b569-15a14c880cd7,Aphis fabae,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:57:31,cpqis.wangxiufen,2024-12-24 19:57:31,,,Scopoli
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,09bc19a3-57ad-4795-ac25-976422d7c74c,Potyvirus plumpoxi,有害生物,ae084d2a-45af-4ff8-b756-b021d61a9ea4,Aphis gossypii,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:57:10,cpqis.wangxiufen,2024-12-24 19:57:10,,,Glover
