id,icode,name,url
29,1519017,Pseudomonas syringae pv. alisalensis _ CABI Compendium.pdf,/upload/wx/1519017/20250214151901.pdf
30,15191353,屏幕截图_2-1-2025_151851_www.cabidigitallibrary.org.jpeg,/upload/wx/15191353/20250102151913.jpeg
31,1524583,Acaudaleyrodes rachipora_2.pdf,/upload/wx/1524583/20230618152458.pdf
32,1528081,Acaudaleyrodes rachipora_3.pdf,/upload/wx/1528081/20230618152808.pdf
33,15334513,Epiphyas postvittana (TORTPO)[Host plants]_ EPPO Global Database.pdf,/upload/wx/15334513/20250221153420.pdf
34,15334513,Epiphyas postvittana (TORTPO)[World distribution]_ EPPO Global Database.pdf,/upload/wx/15334513/20250221153345.pdf
35,153424,First Report of Squash Mosaic Virus in Ornamental Pumpkin in the Czech Republic_153424.doc,/upload/wx/153424/First Report of Squash Mosaic Virus in Ornamental Pumpkin in the Czech Republic_153424.doc
36,153429,First Report of Chickpea chlorotic stunt virus Infecting Legume Crops in Tunisia_153429.docx,/upload/wx/153429/First Report of Chickpea chlorotic stunt virus Infecting Legume Crops in Tunisia_153429.docx
37,153559,First Report of Moroccan pepper virus on Lisianthus in Iran and Worldwide_153559.doc,/upload/wx/153559/First Report of Moroccan pepper virus on Lisianthus in Iran and Worldwide_153559.doc
38,153560,First Report of Tomato chlorosis virus Infecting Tomato in Sudan_153560.docx,/upload/wx/153560/First Report of Tomato chlorosis virus Infecting Tomato in Sudan_153560.docx
39,153569,First report of cassava brown streak disease and associated Ugandan cassava brown streak virus in Burundi_153569.pdf,/upload/wx/153569/First report of cassava brown streak disease and associated Ugandan cassava brown streak virus in Burundi_153569.pdf
40,153588,First report of Apple scar skin viroid (ASSVd) in apple trees in Argentina_153588.docx,/upload/wx/153588/First report of Apple scar skin viroid (ASSVd) in apple trees in Argentina_153588.docx
41,153590,2012（2）First Report of Black Spots on Avocado Fruit Caused by Neofusicoccum parvum in Mexico_153590.docx,/upload/wx/153590/2012（2）First Report of Black Spots on Avocado Fruit Caused by Neofusicoccum parvum in Mexico_153590.docx
42,153691,"First Report of Spencermartinsia viticola, Neofusicoccum australe, and N parvum_153691.mht","/upload/wx/153691/First Report of Spencermartinsia viticola, Neofusicoccum australe, and N parvum_153691.mht"
43,15370917,诺丽花叶病毒首次被鉴定_余乃通.pdf,/upload/wx/15370917/20240321153709.pdf
44,153854,First Report of Apricot latent virus and Plum bark necrosis stem pitting_153854.doc,/upload/wx/153854/First Report of Apricot latent virus and Plum bark necrosis stem pitting_153854.doc
45,153855,First Report of Plum bark necrosis stem pitting-associated virus in Stone Fruit Trees in China_153855.doc,/upload/wx/153855/First Report of Plum bark necrosis stem pitting-associated virus in Stone Fruit Trees in China_153855.doc
46,153874,Apricot pseudo-chlorotic leaf spot virus_153874.doc,/upload/wx/153874/Apricot pseudo-chlorotic leaf spot virus_153874.doc
47,153953,Sida micrantha mosaic virus_153953.doc,/upload/wx/153953/Sida micrantha mosaic virus_153953.doc
48,153957,Squash leaf curl Philippines virus_153957.doc,/upload/wx/153957/Squash leaf curl Philippines virus_153957.doc
49,153960,Sugarcane streak mosaic virus_153960.pdf,/upload/wx/153960/Sugarcane streak mosaic virus_153960.pdf
50,153969,Tobacco leaf curl Pusa virus_153969.pdf,/upload/wx/153969/Tobacco leaf curl Pusa virus_153969.pdf
51,153976,Tomato zonate spot virus_153976.doc,/upload/wx/153976/Tomato zonate spot virus_153976.doc
52,154012,Chilli ringspot virus_154012.doc,/upload/wx/154012/Chilli ringspot virus_154012.doc
53,154017,Actinidia virus A_154017.pdf,/upload/wx/154017/Actinidia virus A_154017.pdf
54,154093,Bidens mottle virus2_154093.doc,/upload/wx/154093/Bidens mottle virus2_154093.doc
55,154134,First Report of Multiple Species of the Botryosphaeriaceae in California_154134.doc,/upload/wx/154134/First Report of Multiple Species of the Botryosphaeriaceae in California_154134.doc
56,154177,fulltext_154177.pdf,/upload/wx/154177/fulltext_154177.pdf
57,154182,fulltext_154182.pdf,/upload/wx/154182/fulltext_154182.pdf
58,154203,fulltext_154203.pdf,/upload/wx/154203/fulltext_154203.pdf
59,154206,云南省补充的森林植物检疫对象发生及危险性评价_154206.pdf,/upload/wx/154206/云南省补充的森林植物检疫对象发生及危险性评价_154206.pdf
60,154353,2012（15）First Report of the Crucifer Pathogen Pseudomonas cannabina pv_154353.doc,/upload/wx/154353/2012（15）First Report of the Crucifer Pathogen Pseudomonas cannabina pv_154353.doc
61,154518,2012（26）First Report of Grapevine Leafroll-associated Virus 4 in Vineyards of Turkey_154518.docx,/upload/wx/154518/2012（26）First Report of Grapevine Leafroll-associated Virus 4 in Vineyards of Turkey_154518.docx
62,154521,2012（26）First Report of Tomato yellow leaf curl virus Infecting Common Bean in China_154521.docx,/upload/wx/154521/2012（26）First Report of Tomato yellow leaf curl virus Infecting Common Bean in China_154521.docx
63,154730,Fungal trunk pathogens associated with wood decay of almond trees on Mallorca.pdf,/upload/wx/154730/Fungal trunk pathogens associated with wood decay of almond trees on Mallorca.pdf
64,154730,9-Characterisation of the fungi associated with esca diseased grapevines in South Africa_154730.docx,/upload/wx/154730/9-Characterisation of the fungi associated with esca diseased grapevines in South Africa_154730.docx
65,154809,A novel cassava infecting begomovirus from Madagascar cassava mosaic Madagascar virus_154809.doc,/upload/wx/154809/A novel cassava infecting begomovirus from Madagascar cassava mosaic Madagascar virus_154809.doc
66,154869,A novel mastrevirus infecting wheat in India_154869.doc,/upload/wx/154869/A novel mastrevirus infecting wheat in India_154869.doc
67,154875,2004（6）371国外新增检疫性植物病原真菌简介_张传飞_154875.pdf,/upload/wx/154875/2004（6）371国外新增检疫性植物病原真菌简介_张传飞_154875.pdf
68,154882,2005（4）227危害苹果的3种卷蛾及其检疫技术_陈燕平_154882.pdf,/upload/wx/154882/2005（4）227危害苹果的3种卷蛾及其检疫技术_陈燕平_154882.pdf
69,154883,2005（4）232传播栎枯萎病的两种鬃额小蠹_廖太林_154883.pdf,/upload/wx/154883/2005（4）232传播栎枯萎病的两种鬃额小蠹_廖太林_154883.pdf
70,154901,02-北京怀柔地区樱桃上发现李属坏死环斑病毒_154901.pdf,/upload/wx/154901/02-北京怀柔地区樱桃上发现李属坏死环斑病毒_154901.pdf
71,154902,03-北京引致大丽菊花叶症的三种病毒_154902.pdf,/upload/wx/154902/03-北京引致大丽菊花叶症的三种病毒_154902.pdf
72,154903,04-长蒴母草黄脉病毒——一个双生病毒的新种_154903.pdf,/upload/wx/154903/04-长蒴母草黄脉病毒——一个双生病毒的新种_154903.pdf
73,154904,05-臭椿病毒病病原鉴定_154904.pdf,/upload/wx/154904/05-臭椿病毒病病原鉴定_154904.pdf
74,154913,18-湖北省小麦黄花叶病病原的部分序列鉴定_154913.pdf,/upload/wx/154913/18-湖北省小麦黄花叶病病原的部分序列鉴定_154913.pdf
75,154916,21-江苏小麦条纹病毒病和中国小麦花叶病的初步鉴定_程兆榜_154916.pdf,/upload/wx/154916/21-江苏小麦条纹病毒病和中国小麦花叶病的初步鉴定_程兆榜_154916.pdf
76,154917,22-江西甘蔗花叶病病原的分子鉴定_154917.pdf,/upload/wx/154917/22-江西甘蔗花叶病病原的分子鉴定_154917.pdf
