species_guid,plant_parts,pest_stage,visibility_type,spreading_way
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,种苗;组培苗,卵/幼虫,裸眼可见,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,叶,,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,树皮,卵/幼虫/蛹,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,生长介质,成虫,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,木材,卵/幼虫/蛹,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,茎;枝;芽,卵/幼虫/蛹,裸眼可见,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,花,,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,果实（包括果柄）,,,
dfd6ed36-d6a8-4b07-a595-dac6f5ccf53d,根,卵/幼虫/蛹,裸眼可见,
3ed204ff-73de-4a98-9776-66293938498a,种子,种子,,
3ed204ff-73de-4a98-9776-66293938498a,叶,种子,,
3ed204ff-73de-4a98-9776-66293938498a,茎;枝;芽,种子,,
8823ea86-616e-4c36-80fc-399446569b5d,全株,,,
f803677f-5c4a-4f4d-a29d-8c6749b2c15e,茎;枝;芽,,,
11f3a067-05a4-488a-bd61-53189694b2a5,全株,,,
8191979b-1582-43ee-b893-087eee71845c,叶,幼虫,裸眼可见,
8191979b-1582-43ee-b893-087eee71845c,生长介质,幼虫/蛹,裸眼可见,
8191979b-1582-43ee-b893-087eee71845c,茎;枝;芽,,,
8191979b-1582-43ee-b893-087eee71845c,果实（包括果柄）,,,
176bd3d1-3d81-4bd0-97df-61ef4606f99f,全株,,,
8fe022d0-fdde-4432-82da-1ac9876ca925,全株,,,
046c72b3-f398-424d-a7c0-a28104e986b8,种子,,裸眼可见,
046c72b3-f398-424d-a7c0-a28104e986b8,种苗;组培苗,,不可见,
046c72b3-f398-424d-a7c0-a28104e986b8,叶,,,
046c72b3-f398-424d-a7c0-a28104e986b8,茎;枝;芽,,裸眼可见,
046c72b3-f398-424d-a7c0-a28104e986b8,花,,,
046c72b3-f398-424d-a7c0-a28104e986b8,果实（包括果柄）,,裸眼可见,
046c72b3-f398-424d-a7c0-a28104e986b8,根,,,
b2374979-8b23-4250-b167-b08ae153e3b5,叶,,,
b2374979-8b23-4250-b167-b08ae153e3b5,茎;枝;芽,,,
b2374979-8b23-4250-b167-b08ae153e3b5,花,,,
93e8776a-d885-487f-b4d4-5821a93da551,叶,,,
d8bf658d-d30d-4065-8b84-7bf0377e8564,种子,孢子/菌丝,不可见,
d8bf658d-d30d-4065-8b84-7bf0377e8564,叶,,,
d8bf658d-d30d-4065-8b84-7bf0377e8564,生长介质,菌丝/子实体,不可见,
